budget,popularity,revenue,title,vote_average,vote_count,release_year,release_month,release_day,return
30250000.0,12.669608,115101622.0,Get Shorty,6.4,305.0,1995.0,10.0,20.0,3.805012297520661
0.0,10.701801,0.0,Copycat,6.5,199.0,1995.0,10.0,27.0,0.0
50000000.0,11.065939,30303072.0,Assassins,6.0,394.0,1995.0,10.0,6.0,0.60606144
0.0,12.133094,0.0,Powder,6.3,143.0,1995.0,10.0,27.0,0.0
3600000.0,10.332025,49800000.0,Leaving Las Vegas,7.1,365.0,1995.0,10.0,27.0,13.833333333333334
0.0,1.845899,0.0,Othello,7.0,33.0,1995.0,12.0,15.0,0.0
12000000.0,8.681325,27400000.0,Now and Then,6.6,91.0,1995.0,10.0,20.0,2.283333333333333
0.0,2.228434,0.0,Persuasion,7.4,36.0,1995.0,9.0,27.0,0.0
18000000.0,9.822423,1738611.0,The City of Lost Children,7.6,308.0,1995.0,5.0,16.0,0.0965895
0.0,1.100915,0.0,Shanghai Triad,6.5,17.0,1995.0,4.0,30.0,0.0
0.0,9.481338,180000000.0,Dangerous Minds,6.4,249.0,1995.0,8.0,11.0,0.0
29500000.0,12.297305,168840000.0,Twelve Monkeys,7.4,2470.0,1995.0,12.0,29.0,5.7233898305084745
0.0,0.745542,0.0,Wings of Courage,6.8,4.0,1996.0,9.0,18.0,0.0
30000000.0,14.404764,254134910.0,Babe,6.0,756.0,1995.0,7.0,18.0,8.471163666666667
0.0,1.493361,0.0,Carrington,6.4,16.0,1995.0,11.0,8.0,0.0
11000000.0,6.891317,39363635.0,Dead Man Walking,7.3,350.0,1995.0,12.0,29.0,3.5785122727272727
0.0,0.114469,0.0,Across the Sea of Time,3.5,2.0,1995.0,10.0,20.0,0.0
0.0,7.777735,0.0,It Takes Two,6.1,149.0,1995.0,11.0,17.0,0.0
12000000.0,9.882383,0.0,Clueless,6.9,828.0,1995.0,7.0,19.0,0.0
0.0,0.894647,676525.0,"Cry, the Beloved Country",6.7,13.0,1995.0,12.0,15.0,0.0
0.0,4.561387,0.0,Richard III,6.9,50.0,1995.0,12.0,29.0,0.0
10000000.0,9.87957,0.0,Dead Presidents,6.6,80.0,1995.0,10.0,6.0,0.0
19000000.0,10.979269,0.0,Restoration,6.3,30.0,1995.0,12.0,29.0,0.0
18000000.0,10.870138,122195920.0,Mortal Kombat,5.4,452.0,1995.0,8.0,18.0,6.788662222222222
20000000.0,10.448481,21284514.0,To Die For,6.7,177.0,1995.0,5.0,20.0,1.0642257
10000000.0,4.485958,23574130.0,How To Make An American Quilt,6.5,38.0,1995.0,10.0,6.0,2.357413
33000000.0,18.45743,327311859.0,Se7en,8.1,5915.0,1995.0,9.0,22.0,9.91854118181818
55000000.0,13.280069,346079773.0,Pocahontas,6.7,1509.0,1995.0,6.0,14.0,6.292359509090909
0.0,3.302524,0.0,When Night Is Falling,5.9,10.0,1995.0,5.0,5.0,0.0
6000000.0,16.302466,23341568.0,The Usual Suspects,8.1,3334.0,1995.0,7.0,19.0,3.890261333333333
0.0,0.595949,0.0,Guardian Angel,6.3,3.0,1994.0,11.0,22.0,0.0
15000000.0,15.899134,6700000.0,Mighty Aphrodite,6.7,145.0,1995.0,9.0,13.0,0.4466666666666666
0.0,1.361286,0.0,Lamerica,7.7,11.0,1994.0,1.0,1.0,0.0
0.0,5.982764,0.0,The Big Green,5.2,41.0,1995.0,9.0,29.0,0.0
0.0,4.093443,0.0,Georgia,6.1,15.0,1995.0,5.0,19.0,0.0
0.0,0.307075,0.0,Kids of the Round Table,3.0,1.0,1997.0,7.0,8.0,0.0
0.0,8.416802,17519169.0,Home for the Holidays,6.3,39.0,1995.0,11.0,2.0,0.0
0.0,10.168437,0.0,The Postman,7.6,181.0,1994.0,9.0,22.0,0.0
0.0,0.120789,0.0,The Confessional,6.5,2.0,1995.0,9.0,29.0,0.0
45000000.0,10.673296,0.0,The Indian in the Cupboard,5.9,136.0,1995.0,7.0,14.0,0.0
20000000.0,4.733526,0.0,Eye for an Eye,5.8,65.0,1996.0,1.0,12.0,0.0
0.0,7.137117,106269971.0,Mr. Holland's Opus,6.9,115.0,1995.0,12.0,29.0,0.0
0.0,11.700115,0.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192.0,1996.0,1.0,12.0,0.0
0.0,2.174487,0.0,Two If by Sea,4.5,14.0,1996.0,1.0,12.0,0.0
15000000.0,6.387469,0.0,Bio-Dome,4.4,110.0,1996.0,1.0,12.0,0.0
0.0,2.49535,2409225.0,Lawnmower Man 2: Beyond Cyberspace,2.8,32.0,1996.0,1.0,12.0,0.0
0.0,4.046208,0.0,Two Bits,5.4,11.0,1995.0,10.0,22.0,0.0
0.0,2.518051,0.0,French Twist,6.0,43.0,1995.0,2.0,8.0,0.0
3500000.0,14.56965,28215918.0,Friday,7.0,513.0,1995.0,4.0,26.0,8.061690857142857
19000000.0,15.339153,25836616.0,From Dusk Till Dawn,6.9,1644.0,1996.0,1.0,19.0,1.359821894736842
50000000.0,5.912223,11534477.0,Fair Game,4.1,54.0,1995.0,11.0,3.0,0.23068954
0.0,3.367276,718490.0,Kicking and Screaming,7.0,36.0,1995.0,10.0,6.0,0.0
0.0,1.479446,0.0,Les Miserables,6.6,8.0,1995.0,3.0,22.0,0.0
0.0,10.412194,19030691.0,Bed of Roses,5.1,27.0,1996.0,1.0,26.0,0.0
15000000.0,2.936443,2042530.0,Big Bully,3.9,16.0,1996.0,1.0,26.0,0.1361686666666666
20000000.0,12.758848,5781885.0,Screamers,6.1,154.0,1995.0,9.0,8.0,0.28909425
0.0,0.133893,0.0,Nico Icon,7.3,3.0,1995.0,2.0,18.0,0.0
0.0,5.756462,0.0,The Crossing Guard,6.1,74.0,1995.0,11.0,15.0,0.0
44000000.0,6.010579,0.0,The Juror,5.5,91.0,1996.0,2.0,2.0,0.0
0.0,1.196256,0.0,The White Balloon,7.5,20.0,1995.0,1.0,1.0,0.0
8000000.0,4.486179,529766.0,Things to Do in Denver When You're Dead,6.7,87.0,1995.0,12.0,1.0,0.06622075
900000.0,2.030174,0.0,Antonia's Line,7.2,26.0,1995.0,9.0,12.0,0.0
0.0,0.252287,0.0,Once Upon a Time... When We Were Colored,4.5,2.0,1996.0,1.0,26.0,0.0
0.0,0.531159,0.0,Last Summer in the Hamptons,0.0,0.0,1995.0,11.0,22.0,0.0
0.0,2.15166,0.0,Angels and Insects,6.3,17.0,1995.0,9.0,10.0,0.0
38000000.0,9.568604,10300000.0,White Squall,6.3,86.0,1996.0,2.0,2.0,0.2710526315789474
16000000.0,4.814825,0.0,Dunston Checks In,5.1,59.0,1996.0,1.0,12.0,0.0
0.0,8.963037,32.0,Black Sheep,6.0,124.0,1996.0,2.0,1.0,0.0
8169363.0,6.848591,8175346.0,Nick of Time,6.1,190.0,1995.0,11.0,22.0,1.000732370443081
0.0,0.411424,0.0,The Journey of August King,6.7,3.0,1995.0,9.0,14.0,0.0
47000000.0,12.866139,12379402.0,Mary Reilly,5.7,77.0,1996.0,2.0,23.0,0.2633915319148936
14000000.0,9.071127,19800000.0,Vampire in Brooklyn,4.5,113.0,1995.0,10.0,26.0,1.4142857142857144
0.0,4.670562,0.0,Beautiful Girls,6.6,103.0,1996.0,2.0,9.0,0.0
50000000.0,14.957626,150270147.0,Broken Arrow,5.7,459.0,1996.0,2.0,9.0,3.00540294
0.0,0.513391,0.0,A Midwinter's Tale,7.5,6.0,1995.0,12.0,1.0,0.0
3000000.0,12.108196,0.0,La Haine,7.9,695.0,1995.0,5.0,31.0,0.0
0.0,2.657647,0.0,Shopping,5.6,13.0,1994.0,12.0,6.0,0.0
0.0,0.638211,0.0,Heidi Fleiss: Hollywood Madam,6.8,4.0,1995.0,12.0,27.0,0.0
0.0,4.807223,0.0,City Hall,6.0,67.0,1996.0,2.0,16.0,0.0
7000000.0,6.904831,560069.0,Bottle Rocket,6.8,285.0,1996.0,2.0,21.0,0.0800098571428571
0.0,3.329264,0.0,Mr. Wrong,3.3,16.0,1996.0,2.0,16.0,0.0
18000000.0,2.464425,0.0,Unforgettable,5.3,22.0,1996.0,2.0,23.0,0.0
12000000.0,9.592265,41205099.0,Happy Gilmore,6.5,767.0,1996.0,2.0,16.0,3.43375825
24000000.0,5.951077,182016617.0,The Bridges of Madison County,7.3,397.0,1995.0,5.0,28.0,7.584025708333333
0.0,1.015068,0.0,Nobody Loves Me,5.1,5.0,1994.0,11.0,7.0,0.0
0.0,6.902423,34327391.0,Muppet Treasure Island,6.5,93.0,1996.0,2.0,16.0,0.0
0.0,0.976707,0.0,Catwalk,7.0,2.0,1995.0,12.0,8.0,0.0
0.0,0.001346,0.0,Headless Body in Topless Bar,0.0,0.0,1995.0,5.0,20.0,0.0
72000000.0,20.755149,210000000.0,Braveheart,7.7,3404.0,1995.0,5.0,24.0,2.9166666666666665
1300000.0,14.092713,28262574.0,Taxi Driver,8.1,2632.0,1976.0,2.0,7.0,21.74044153846154
7500000.0,12.314278,32392047.0,Rumble in the Bronx,6.5,245.0,1995.0,1.0,30.0,4.3189396
35000000.0,2.938293,0.0,Before and After,5.8,37.0,1996.0,2.0,23.0,0.0
0.0,0.372697,0.0,Margaret's Museum,7.5,2.0,1995.0,9.0,13.0,0.0
13365000.0,1.254885,0.0,Happiness Is in the Field,7.0,23.0,1995.0,1.0,31.0,0.0
0.0,0.243986,1.0,Anne Frank Remembered,7.3,4.0,1995.0,6.0,8.0,0.0
0.0,6.178497,0.0,The Young Poisoner's Handbook,6.9,19.0,1995.0,1.0,20.0,0.0
0.0,2.891918,0.0,If Lucy Fell,5.4,11.0,1996.0,3.0,8.0,0.0
25000000.0,1.522412,6278139.0,Steal Big Steal Little,5.1,7.0,1995.0,9.0,29.0,0.25112556
0.0,1.317878,0.0,Race the Sun,5.2,21.0,1996.0,3.0,22.0,0.0
0.0,0.86539,0.0,The Boys of St. Vincent,7.0,7.0,1992.0,12.0,6.0,0.0
40000000.0,6.506983,70100000.0,Boomerang,5.4,139.0,1992.0,6.0,30.0,1.7525
0.0,6.778979,0.0,Chungking Express,7.9,249.0,1994.0,7.0,14.0,0.0
0.0,1.702639,0.0,The Star Maker,6.8,29.0,1995.0,9.0,21.0,0.0
7000000.0,5.579088,14702438.0,Flirting with Disaster,6.3,66.0,1996.0,3.0,22.0,2.100348285714286
17000000.0,6.252377,0.0,The Neverending Story III: Escape from Fantasia,4.4,105.0,1994.0,10.0,26.0,0.0
0.0,0.406754,0.0,The Silences of the Palace,4.3,3.0,1994.0,9.0,30.0,0.0
0.0,0.001178,0.0,Jupiter's Wife,0.0,0.0,1995.0,1.0,1.0,0.0
0.0,0.699066,0.0,Pie in the Sky,7.0,2.0,1996.0,2.0,9.0,0.0
0.0,2.197439,0.0,Angela,5.6,9.0,1995.0,1.0,1.0,0.0
0.0,0.637554,0.0,Frankie Starlight,5.4,4.0,1995.0,11.0,22.0,0.0
50000000.0,11.418917,9851610.0,Jade,5.1,45.0,1995.0,10.0,13.0,0.1970322
0.0,0.291021,0.0,Nueba Yol,5.5,1.0,1995.0,8.0,16.0,0.0
0.0,0.001838,0.0,Sonic Outlaws,0.0,0.0,1995.0,8.0,1.0,0.0
0.0,5.184977,0.0,Down Periscope,5.6,110.0,1996.0,3.0,1.0,0.0
0.0,0.276401,0.0,From the Journals of Jean Seberg,6.5,2.0,1995.0,9.0,8.0,0.0
0.0,0.540436,209935.0,Man of the Year,3.8,2.0,1995.0,9.0,15.0,0.0
0.0,0.370342,0.0,The Neon Bible,7.2,5.0,1995.0,8.0,23.0,0.0
0.0,0.001205,0.0,Target,0.0,0.0,1995.0,8.0,1.0,0.0
60000000.0,3.402749,0.0,Up Close & Personal,5.9,51.0,1996.0,3.0,1.0,0.0
31000000.0,6.49968,185260553.0,The Birdcage,6.7,303.0,1996.0,3.0,8.0,5.976146870967742
0.0,0.918504,0.0,Virgin Mary,7.0,2.0,1995.0,10.0,12.0,0.0
0.0,2.039196,0.0,The Brothers McMullen,6.3,23.0,1995.0,8.0,9.0,0.0
19000000.0,9.262184,141407024.0,Bad Boys,6.5,1729.0,1995.0,4.0,7.0,7.442474947368421
0.0,2.375865,0.0,The Amazing Panda Adventure,5.0,31.0,1995.0,8.0,25.0,0.0
0.0,7.415144,0.0,The Basketball Diaries,7.2,472.0,1995.0,4.0,21.0,0.0
4000000.0,0.922958,851545.0,An Awfully Big Adventure,6.0,11.0,1995.0,7.0,21.0,0.21288625
0.0,1.759012,0.0,Amateur,6.5,21.0,1994.0,8.0,5.0,0.0
52000000.0,18.761467,355237933.0,Apollo 13,7.3,1637.0,1995.0,6.0,30.0,6.831498711538462
28000000.0,10.193549,31596911.0,Rob Roy,6.5,151.0,1995.0,4.0,13.0,1.1284611071428572
0.0,3.137285,0.0,The Addiction,6.4,46.0,1995.0,1.0,10.0,0.0
100000000.0,13.321354,336529144.0,Batman Forever,5.2,1529.0,1995.0,6.0,16.0,3.36529144
0.0,10.142662,0.0,Belle de Jour,7.3,163.0,1967.0,5.0,24.0,0.0
0.0,2.04189,0.0,Beyond Rangoon,6.4,21.0,1995.0,5.0,24.0,0.0
2000000.0,11.528147,1275000.0,Blue in the Face,6.8,28.0,1995.0,9.0,15.0,0.6375
11000000.0,5.391556,178104.0,Canadian Bacon,5.9,57.0,1995.0,6.0,8.0,0.0161912727272727
50000000.0,12.812539,287928194.0,Casper,6.0,1045.0,1995.0,5.0,26.0,5.75856388
25000000.0,4.558992,13071518.0,Clockers,6.8,69.0,1995.0,9.0,15.0,0.52286072
50000000.0,7.260574,152022101.0,Congo,5.0,214.0,1995.0,6.0,9.0,3.04044202
53000000.0,8.657365,157387195.0,Crimson Tide,7.0,508.0,1995.0,5.0,12.0,2.969569716981132
0.0,3.620388,3174695.0,Crumb,7.6,71.0,1994.0,9.0,10.0,0.0
7000000.0,6.950458,25405445.0,Desperado,6.8,898.0,1995.0,8.0,25.0,3.6293492857142855
27000000.0,4.646132,16140822.0,Devil in a Blue Dress,6.3,88.0,1995.0,9.0,15.0,0.5978082222222222
90000000.0,15.138855,366101666.0,Die Hard: With a Vengeance,6.9,2094.0,1995.0,5.0,19.0,4.067796288888889
0.0,7.120806,0.0,The Doom Generation,5.6,57.0,1995.0,10.0,27.0,0.0
0.0,0.523575,0.0,Feast of July,0.0,0.0,1995.0,10.0,12.0,0.0
55000000.0,15.178338,127600435.0,First Knight,5.9,319.0,1995.0,7.0,7.0,2.320007909090909
0.0,7.575098,0.0,Free Willy 2 - The Adventure Home,5.5,130.0,1995.0,7.0,19.0,0.0
20000000.0,14.810519,7563728.0,Hackers,6.2,406.0,1995.0,9.0,14.0,0.3781864
0.0,3.196456,0.0,Jeffrey,6.5,19.0,1995.0,8.0,18.0,0.0
25000000.0,11.715868,19075720.0,Johnny Mnemonic,5.5,380.0,1995.0,5.0,26.0,0.7630288
90000000.0,8.184815,113493481.0,Judge Dredd,5.4,643.0,1995.0,6.0,30.0,1.2610386777777778
0.0,3.676921,17014653.0,Jury Duty,4.0,34.0,1995.0,4.0,12.0,0.0
1500000.0,4.877872,7412216.0,Kids,6.8,280.0,1995.0,7.0,28.0,4.941477333333333
500000.0,10.058329,1148752.0,Living in Oblivion,7.2,64.0,1995.0,1.0,20.0,2.297504
0.0,4.102409,0.0,Lord of Illusions,5.9,87.0,1995.0,8.0,25.0,0.0
0.0,0.354014,0.0,Love & Human Remains,7.0,7.0,1993.0,5.0,20.0,0.0
0.0,2.624771,15453274.0,Mad Love,5.5,27.0,1995.0,5.0,26.0,0.0
6000000.0,8.25547,2122561.0,Mallrats,6.8,400.0,1995.0,10.0,20.0,0.3537601666666666
15000000.0,7.024227,66000000.0,Mighty Morphin Power Rangers: The Movie,5.2,153.0,1995.0,6.0,30.0,4.4
0.0,1.01115,0.0,Moonlight and Valentino,5.6,10.0,1995.0,9.0,29.0,0.0
2.0,2.466066,1.0,Mute Witness,6.4,36.0,1995.0,9.0,28.0,0.5
0.0,7.720056,0.0,Nadja,5.9,12.0,1994.0,9.0,13.0,0.0
22000000.0,13.304342,110627965.0,The Net,5.6,359.0,1995.0,7.0,28.0,5.028543863636363
0.0,8.482834,69660733.0,Nine Months,5.5,171.0,1995.0,7.0,12.0,0.0
150000.0,1.165039,472370.0,Party Girl,5.8,14.0,1995.0,6.0,9.0,3.1491333333333333
8.0,10.187623,16.0,The Prophecy,6.4,139.0,1995.0,9.0,1.0,2.0
0.0,0.119713,0.0,Reckless,10.0,1.0,1995.0,11.0,17.0,0.0
0.0,8.180047,0.0,Safe,7.2,62.0,1995.0,6.0,23.0,0.0
50000000.0,6.752119,10382407.0,The Scarlet Letter,5.5,111.0,1995.0,10.0,13.0,0.20764814
0.0,0.159596,0.0,The Show,5.3,2.0,1995.0,8.0,25.0,0.0
45000000.0,17.502375,20350754.0,Showgirls,4.9,261.0,1995.0,9.0,22.0,0.4522389777777778
7000000.0,5.552946,8349430.0,Smoke,7.2,115.0,1995.0,6.0,9.0,1.1927757142857145
0.0,3.743212,50892160.0,Something to Talk About,5.7,60.0,1995.0,8.0,4.0,0.0
35000000.0,13.492845,113374103.0,Species,5.5,457.0,1995.0,7.0,7.0,3.2392600857142857
0.0,0.913522,0.0,The Stars Fell on Henrietta,6.6,6.0,1995.0,9.0,15.0,0.0
42000000.0,11.223055,7959291.0,Strange Days,6.8,334.0,1995.0,10.0,13.0,0.1895069285714285
0.0,8.133881,0.0,The Umbrellas of Cherbourg,7.6,119.0,1964.0,2.0,19.0,0.0
14000000.0,1.820419,5780000.0,The Tie That Binds,4.6,9.0,1995.0,9.0,8.0,0.4128571428571428
0.0,11.002046,7025496.0,Three Wishes,6.1,18.0,1995.0,10.0,27.0,0.0
0.0,4.546552,339889.0,Total Eclipse,6.5,112.0,1995.0,11.0,2.0,0.0
0.0,7.653446,47774193.0,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117.0,1995.0,9.0,7.0,0.0
60000000.0,7.490247,104324083.0,Under Siege 2: Dark Territory,5.6,217.0,1995.0,7.0,13.0,1.738734716666667
0.0,2.881689,0.0,Unstrung Heroes,6.4,9.0,1995.0,9.0,15.0,0.0
0.0,0.786023,0.0,Unzipped,6.0,6.0,1995.0,8.0,11.0,0.0
20000000.0,9.715639,50012507.0,A Walk in the Clouds,6.5,168.0,1995.0,8.0,11.0,2.50062535
175000000.0,16.885184,264218220.0,Waterworld,5.9,1017.0,1995.0,7.0,28.0,1.5098184
8000000.0,1.834099,0.0,White Man's Burden,5.1,25.0,1995.0,12.0,1.0,0.0
30000000.0,8.922139,0.0,Wild Bill,5.9,27.0,1995.0,12.0,1.0,0.0
0.0,3.727644,0.0,The Browning Version,6.0,11.0,1994.0,10.0,12.0,0.0
0.0,3.287036,0.0,Bushwhacked,4.9,29.0,1995.0,8.0,4.0,0.0
2800000.0,2.486073,2616503.0,Burnt by the Sun,6.7,35.0,1994.0,5.0,1.0,0.9344653571428572
0.0,3.525649,763847.0,Before the Rain,7.7,45.0,1994.0,6.0,9.0,0.0
2500000.0,11.304979,5535405.0,Before Sunrise,7.7,984.0,1995.0,1.0,27.0,2.214162
10000000.0,6.638116,26488734.0,Billy Madison,6.2,464.0,1995.0,2.0,10.0,2.6488734
0.0,2.761837,0.0,The Babysitter,4.7,27.0,1995.0,10.0,17.0,0.0
21000000.0,3.030309,23450000.0,Boys on the Side,6.3,48.0,1995.0,2.0,3.0,1.1166666666666667
0.0,2.686342,0.0,The Cure,7.2,58.0,1995.0,4.0,21.0,0.0
0.0,2.26977,0.0,Castle Freak,5.8,40.0,1995.0,8.0,4.0,0.0
0.0,2.605521,0.0,Circle of Friends,6.5,30.0,1995.0,3.0,16.0,0.0
27000.0,10.513367,3151130.0,Clerks,7.4,769.0,1994.0,9.0,13.0,116.70851851851852
25000000.0,7.438934,22200000.0,Don Juan DeMarco,6.3,184.0,1994.0,10.0,1.0,0.888
55000000.0,11.812244,214015089.0,Disclosure,5.9,217.0,1994.0,12.0,9.0,3.891183436363636
0.0,0.155859,0.0,Dream Man,2.5,1.0,1995.0,1.0,1.0,0.0
45000000.0,9.579155,0.0,Drop Zone,5.1,91.0,1994.0,12.0,8.0,0.0
0.0,0.710671,0.0,Destiny Turns on the Radio,5.3,9.0,1995.0,4.0,28.0,0.0
0.0,5.484156,0.0,Death and the Maiden,7.1,92.0,1994.0,5.0,4.0,0.0
0.0,5.8025,0.0,Dolores Claiborne,7.1,183.0,1995.0,3.0,24.0,0.0
16000000.0,9.844558,247275374.0,Dumb and Dumber,6.5,1894.0,1994.0,12.0,16.0,15.454710875
0.0,4.860016,7294403.0,Eat Drink Man Woman,7.5,76.0,1994.0,8.0,3.0,0.0
0.0,5.378467,0.0,Exotica,6.5,64.0,1994.0,9.0,24.0,0.0
0.0,4.322726,6841570.0,Exit to Eden,4.3,28.0,1994.0,10.0,14.0,0.0
18000000.0,11.720358,5887457.0,Ed Wood,7.3,639.0,1994.0,9.0,27.0,0.3270809444444444
0.0,9.146544,0.0,French Kiss,6.2,179.0,1995.0,5.0,5.0,0.0
0.0,16.236745,0.0,Forget Paris,6.1,38.0,1995.0,5.0,19.0,0.0
0.0,2.657337,0.0,Far from Home: The Adventures of Yellow Dog,5.6,27.0,1995.0,1.0,13.0,0.0
0.0,10.177977,35348597.0,A Goofy Movie,6.7,404.0,1995.0,4.0,7.0,0.0
15000000.0,8.182165,12201255.0,Hideaway,5.0,24.0,1995.0,3.0,3.0,0.813417
0.0,4.953936,0.0,Fluke,6.6,48.0,1995.0,6.0,2.0,0.0
0.0,8.935058,0.0,Farinelli,5.9,20.0,1994.0,12.0,7.0,0.0
0.0,0.398924,3992809.0,Gordy,3.0,4.0,1995.0,5.0,12.0,0.0
0.0,0.090452,0.0,Gumby: The Movie,5.0,2.0,1995.0,12.0,1.0,0.0
0.0,1.012197,0.0,The Glass Shield,5.4,9.0,1994.0,9.0,16.0,0.0
700000.0,9.47666,7830611.0,Hoop Dreams,7.7,91.0,1994.0,9.0,12.0,11.186587142857142
5000000.0,9.438042,3049135.0,Heavenly Creatures,6.9,299.0,1994.0,9.0,2.0,0.609827
10500000.0,2.688562,26325256.0,Houseguest,6.0,17.0,1995.0,1.0,6.0,2.507167238095238
120.0,7.983666,0.0,Immortal Beloved,6.9,90.0,1994.0,12.0,16.0,0.0
0.0,9.546707,17689177.0,Heavyweights,6.0,97.0,1995.0,2.0,17.0,0.0
0.0,2.756986,0.0,The Hunted,6.0,25.0,1995.0,2.0,24.0,0.0
25000000.0,5.146352,0.0,I.Q.,5.9,112.0,1994.0,12.0,24.0,0.0
60000000.0,11.970205,223664608.0,Interview with the Vampire,7.2,1558.0,1994.0,11.0,11.0,3.7277434666666656
14000000.0,1.596058,2474000.0,Jefferson in Paris,5.2,10.0,1995.0,3.0,31.0,0.1767142857142857
0.0,0.748846,0.0,The Jerky Boys,4.8,10.0,1995.0,2.0,3.0,0.0
60000000.0,6.710215,37000000.0,Junior,4.7,381.0,1994.0,11.0,22.0,0.6166666666666667
0.0,9.195256,0.0,Just Cause,6.0,124.0,1995.0,2.0,17.0,0.0
0.0,5.874511,0.0,A Kid in King Arthur's Court,4.3,40.0,1995.0,8.0,11.0,0.0
40000000.0,7.797512,0.0,Kiss of Death,5.7,83.0,1995.0,4.0,21.0,0.0
11000000.0,42.149697,775398007.0,Star Wars,8.1,6778.0,1977.0,5.0,25.0,70.49072790909091
18000000.0,9.774994,0.0,Little Women,7.0,222.0,1994.0,12.0,21.0,0.0
17000000.0,7.731725,0.0,A Little Princess,7.4,207.0,1995.0,5.0,10.0,0.0
0.0,0.84508,0.0,Ladybird Ladybird,7.4,14.0,1994.0,2.0,18.0,0.0
10000000.0,1.948315,0.0,L'Enfer,6.6,22.0,1994.0,2.0,16.0,0.0
2000000.0,4.126083,21665468.0,Like Water for Chocolate,6.6,70.0,1992.0,4.0,16.0,10.832734
30000000.0,12.199047,160638883.0,Legends of the Fall,7.2,636.0,1994.0,12.0,16.0,5.354629433333334
0.0,9.253362,0.0,Major Payne,6.1,164.0,1995.0,3.0,24.0,0.0
0.0,1.861292,0.0,Little Odessa,6.4,31.0,1994.0,10.0,27.0,0.0
0.0,1.788829,0.0,Mi Vida Loca,5.7,9.0,1994.0,6.0,8.0,0.0
60000000.0,3.290192,0.0,Love Affair,4.3,11.0,1994.0,10.0,21.0,0.0
17000000.0,7.698526,7603766.0,Losing Isaiah,6.4,28.0,1995.0,3.0,17.0,0.4472803529411764
0.0,4.81307,0.0,The Madness of King George,6.7,67.0,1994.0,12.0,28.0,0.0
45000000.0,14.287753,112006296.0,Mary Shelley's Frankenstein,6.1,272.0,1994.0,11.0,4.0,2.4890288
0.0,2.558118,0.0,Man of the House,5.1,40.0,1995.0,3.0,3.0,0.0
15000000.0,2.899608,0.0,Mixed Nuts,5.2,37.0,1994.0,12.0,21.0,0.0
0.0,3.770115,18137661.0,Milk Money,5.6,49.0,1994.0,8.0,31.0,0.0
0.0,5.831622,46264384.0,Miracle on 34th Street,6.4,199.0,1994.0,11.0,18.0,0.0
6.0,1.137266,5.0,Miami Rhapsody,5.6,7.0,1995.0,1.0,27.0,0.8333333333333334
5500000.0,3.121288,0.0,My Family,7.0,11.0,1995.0,5.0,3.0,0.0
0.0,9.518564,17381942.0,Murder in the First,6.9,140.0,1995.0,1.0,20.0,0.0
0.0,2.891269,0.0,Nobody's Fool,7.0,56.0,1994.0,12.0,23.0,0.0
31000000.0,5.930957,106683817.0,Nell,6.1,128.0,1994.0,12.0,23.0,3.441413451612904
0.0,0.629955,0.0,New Jersey Drive,6.9,7.0,1995.0,4.0,19.0,0.0
0.0,0.004537,0.0,New York Cop,0.0,0.0,1993.0,8.0,14.0,0.0
